"Feature"	"Description"	"Median_D"	"SD_D"	"Median_rate_loss"	"SD_rate_loss"	"Median_rate_gain"	"SD_rate_gain"	"LogLikelihood"	"AICc"	"p1_turkic"	"p1_mongolic"	"p1_tungusic"	"p1_koreanic"	"p1_japonic"
"GB052"	"Is there a noun class/gender system where shape is a factor in class assignment?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB053"	"Is there a noun class/gender system where animacy is a factor in class assignment?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB054"	"Is there a noun class/gender system where plant status is a factor in class assignment?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB057"	"Are there numeral classifiers?"	-0.01	0.11	0.44	23.77	0.22	20.55	-31.52	66.71	0.14	0.16	0.4	0.77	0.85
"GB058"	"Are there possessive classifiers?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB059"	"Is the adnominal possessive construction different for alienable and inalienable nouns?"	-0.5	0.13	0.52	25.47	0	21.97	-15.28	34.4	0.81	0.2	0.95	0.08	0.2
"GB068"	"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?"	-0.09	0.13	0.32	27.69	0.14	24.54	-25.25	54.4	0.1	0.07	0.06	0.92	0.85
"GB069"	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	-0.6	0.17	0.42	24.01	0	20.9	-15.31	34.47	0.3	0.24	0.21	0.99	0.98
"GB070"	"Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?"	-0.89	0.29	0.03	24.19	0	22.16	-6.71	17.58	1	1	1	1	1
"GB071"	"Are there morphological cases for pronominal core arguments (i.e. S/A/P)?"	-0.81	0.22	0.02	23.91	0.15	19.94	-7.62	18.97	1	1	1	0.81	1
"GB072"	"Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?"	-0.88	0.29	0.03	24.87	0	21.53	-6.71	17.58	1	1	1	1	1
"GB073"	"Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?"	-4.74	1.03	0	25.02	0.11	22.46	-1.94	8	1	1	1	1	1
"GB074"	"Are there prepositions?"	1.07	2.69	0	25.93	0	21.93	Inf	14.41	0	0	0	0	0
"GB075"	"Are there postpositions?"	-4.8	0.97	0	24.38	0.11	21.59	-1.95	8	1	1	1	1	1
"GB079"	"Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?"	0.04	0.54	0	24.59	0	23.51	Inf	13.86	0	0	0	0	0
"GB080"	"Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?"	-4.98	0.77	0	25.37	0.11	22.89	-1.95	8	1	1	1	1	1
"GB081"	"Is there productive infixation in verbs?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB082"	"Is there overt morphological marking of present tense on verbs?"	1.18	0.1	9.04	24.5	50.45	20.84	-25.38	54.88	0.85	0.85	0.85	0.84	0.85
"GB083"	"Is there overt morphological marking on the verb dedicated to past tense?"	0.45	0.1	0.05	23.93	0.2	22.54	-12.4	28.27	0.99	0.99	0.99	0.99	0.99
"GB084"	"Is there overt morphological marking on the verb dedicated to future tense?"	0.11	0.09	0.36	25.18	0.29	22.48	-35.02	73.62	0.7	0.24	0.88	0.51	0.24
"GB086"	"Is a morphological distinction between perfective and imperfective aspect available on verbs?"	0.6	0.09	0.97	27.21	2.96	24.02	-31.17	66.88	0.73	0.77	0.76	0.69	0.77
"GB089"	"Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?"	-0.35	0.11	0.12	25.71	0.21	22.61	-26.25	56.39	0.86	0.44	0.68	0.03	0.05
"GB090"	"Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB091"	"Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?"	-0.35	0.11	0.12	20.68	0.21	18.73	-26.25	56.39	0.86	0.44	0.68	0.03	0.05
"GB092"	"Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB093"	"Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB094"	"Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB095"	"Are variations in marking strategies of core participants based on TAM distinctions?"	1	1.81	0	23.02	0	22	Inf	14.89	0	0	0	0	0
"GB096"	"Are variations in marking strategies of core participants based on verb classes?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB098"	"Are variations in marking strategies of core participants based on person distinctions?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB099"	"Can verb stems alter according to the person of a core participant?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB103"	"Is there a benefactive applicative marker on the verb (including indexing)?"	0.21	0.25	4.46	24.84	0.14	21.54	Inf	21.2	0.03	0.02	0.02	0.14	0.04
"GB104"	"Is there an instrumental applicative marker on the verb (including indexing)?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB105"	"Can the recipient in a ditransitive construction be marked like the monotransitive patient?"	0.52	0.09	21.12	22.54	2.18	20.88	-16.64	37.57	0.1	0.1	0.09	0.14	0.1
"GB107"	"Can standard negation be marked by an affix, clitic or modification of the verb?"	-0.25	0.12	0.14	24.54	0.29	20.66	-24.96	53.83	0.95	0.42	0.75	0.93	0.96
"GB108"	"Is there directional or locative morphological marking on verbs?"	-0.33	0.14	0.47	23.76	0.09	21.63	-18.81	41.44	0.06	0.05	0.64	0.03	0.17
"GB109"	"Is there verb suppletion for participant number?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB110"	"Is there verb suppletion for tense or aspect?"	2.32	1.11	0	23.76	0	21.52	Inf	14.06	0	0	0	0	0
"GB111"	"Are there conjugation classes?"	-0.88	0.17	0.11	23.86	0	21.82	-12.71	29.32	0.63	0.1	0.99	0.72	0.99
"GB113"	"Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?"	-4.91	1.09	0	26.62	0.11	23.25	-1.96	8	1	1	1	1	1
"GB114"	"Is there a phonologically bound reflexive marker on the verb?"	-0.39	0.14	0.04	22.36	0.16	21.24	-23.99	51.5	0.78	0.02	0.08	0.18	0.02
"GB115"	"Is there a phonologically bound reciprocal marker on the verb?"	0.25	0.13	0.19	24.69	0.4	21.68	-22.76	49.53	0.91	0.91	0.85	0.6	0.4
"GB116"	"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB117"	"Is there a copula for predicate nominals?"	0.65	0.2	0.11	23.34	0	21.26	-16.33	36.73	0.95	0.95	0.96	0.96	0.95
"GB118"	"Are there serial verb constructions?"	0.84	0.12	11.3	28.89	3.08	22.34	Inf	43.12	0.22	0.22	0.21	0.25	0.23
"GB119"	"Can mood be marked by an inflecting word (\"auxiliary verb\")?"	0.34	0.09	0.4	22.27	0.58	21.19	-33.85	71.75	0.77	0.77	0.67	0.17	0.37
"GB120"	"Can aspect be marked by an inflecting word (\"auxiliary verb\")?"	0.78	0.07	1.92	22.65	4.82	19.46	-33.09	70.71	0.71	0.71	0.7	0.67	0.71
"GB121"	"Can tense be marked by an inflecting word (\"auxiliary verb\")?"	0.61	0.07	6.02	23.75	5.86	20.25	-39.56	83.74	0.51	0.49	0.51	0.38	0.47
"GB122"	"Is verb compounding a regular process?"	-0.18	0.16	0.41	23.35	0.09	20.18	-18.19	40.24	0.12	0.1	0.17	0.94	0.84
"GB123"	"Are there verb-adjunct (aka light-verb) constructions?"	-1.1	0.33	0.08	24.84	0	21.38	-9.36	22.82	1	0.18	0.91	0.98	1
"GB124"	"Is incorporation of nouns into verbs a productive intransitivizing process?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB126"	"Is there an existential verb?"	0.59	0.07	25.42	22.01	63.56	18.32	-25.13	54.46	0.71	0.69	0.69	0.75	0.72
"GB127"	"Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?"	-1.57	1.36	0	22.84	0	19.42	Inf	12.68	0.01	0	0	0	0
"GB129"	"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB131"	"Is a pragmatically unmarked constituent order verb-initial for transitive clauses?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB132"	"Is a pragmatically unmarked constituent order verb-medial for transitive clauses?"	1.05	0.15	15.89	24.87	1.13	22.83	-14.67	33.56	0.07	0.07	0.07	0.06	0.07
"GB133"	"Is a pragmatically unmarked constituent order verb-final for transitive clauses?"	-4.95	0.78	0	26.86	0.11	23.03	-1.94	8	1	1	1	1	1
"GB134"	"Is the order of constituents the same in main and subordinate clauses?"	-0.04	0.43	0.05	25.77	0	20.44	-10.15	24.29	1	1	1	1	1
"GB135"	"Do clausal objects usually occur in the same position as nominal objects?"	0.59	0.2	2.9	22.48	15.61	19.27	-16.66	37.57	0.84	0.84	0.83	0.87	0.84
"GB136"	"Is the order of core argument (i.e. S/A/P) constituents fixed?"	0.02	0.11	0.31	24.08	0.2	21.02	-25.46	54.73	0.83	0.53	0.11	0.46	0.13
"GB137"	"Can standard negation be marked clause-finally?"	0.11	0.09	0.25	25.69	0.72	23.35	-30.54	64.82	0.85	0.47	0.73	0.36	0.87
"GB138"	"Can standard negation be marked clause-initially?"	0.89	0.69	3.42	26.57	0.11	21.8	Inf	21.24	0.02	0.02	0.02	0.02	0.02
"GB139"	"Is there a difference between imperative (prohibitive) and declarative negation constructions?"	0.08	0.1	0.19	22.44	0.47	22.65	-28.43	60.68	0.39	0.91	0.55	0.89	0.91
"GB140"	"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?"	0.58	0.15	2.85	22.32	0.46	20.71	-19.62	43.83	0.13	0.13	0.14	0.36	0.2
"GB146"	"Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?"	-0.47	0.22	0.35	21.76	0.16	18.65	-12.2	28.79	0.22	0.68	0.65	0.86	0.66
"GB147"	"Is there a morphological passive marked on the lexical verb?"	-0.29	0.19	0.07	23.54	0	20.19	-14.22	32.5	0.99	0.99	1	1	1
"GB148"	"Is there a morphological antipassive marked on the lexical verb?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB149"	"Is there a morphologically marked inverse on verbs?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB150"	"Is there clause chaining?"	0.86	0.24	1.55	26.64	18.65	25.26	-14.32	32.52	0.93	0.93	0.93	0.94	0.93
"GB151"	"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (\"switch reference\")?"	-1.05	2.25	0	21.87	0	20.87	Inf	12.81	0	0	0	0	0
"GB152"	"Is there a morphologically marked distinction between simultaneous and sequential clauses?"	1.03	0.12	5.46	24.44	26.92	22.28	-24.28	52.74	0.83	0.83	0.83	0.84	0.83
"GB155"	"Are causatives formed by affixes or clitics on verbs?"	-4.86	1.03	0	18.62	0.11	20.08	-1.94	8	1	1	1	1	1
"GB156"	"Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?"	-0.76	0.9	0	23.78	0	21.46	Inf	13.7	0	0	0	0	0
"GB158"	"Are verbs reduplicated?"	1.01	0.27	16.11	23.71	1.74	20.68	-13.06	30.35	0.1	0.1	0.1	0.09	0.1
"GB159"	"Are nouns reduplicated?"	1.22	0.17	6.93	21.1	1.25	17.89	Inf	38.03	0.15	0.15	0.15	0.27	0.15
"GB160"	"Are elements apart from verbs or nouns reduplicated?"	1	0.14	24.85	26.24	73.89	20.29	-22.41	49.19	0.75	0.75	0.75	0.76	0.75
"GB165"	"Is there productive morphological trial marking on nouns?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB166"	"Is there productive morphological paucal marking on nouns?"	1.7	0.66	0	24.66	0	21.68	Inf	15.88	0	0	0	0	0
"GB167"	"Is there a logophoric pronoun?"	1.51	0.61	8.06	23.28	0.25	20.33	Inf	21.24	0.02	0.02	0.02	0.02	0.02
"GB170"	"Can an adnominal property word agree with the noun in gender/noun class?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB171"	"Can an adnominal demonstrative agree with the noun in gender/noun class?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB172"	"Can an article agree with the noun in gender/noun class?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB177"	"Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB184"	"Can an adnominal property word agree with the noun in number?"	0.73	0.16	16.89	26.29	1.75	23.42	-16.56	37.38	0.09	0.1	0.1	0.08	0.09
"GB185"	"Can an adnominal demonstrative agree with the noun in number?"	0.56	0.12	3.15	26.1	1.33	21.21	Inf	52.73	0.28	0.35	0.33	0.19	0.28
"GB186"	"Can an article agree with the noun in number?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB187"	"Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?"	-0.05	0.26	0.12	24.55	0.59	21.67	-14.28	33.33	0.94	0.91	0.96	0.96	0.95
"GB188"	"Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?"	0.17	0.27	0.91	23.82	0.12	21.86	-14.49	32.83	0.07	0.1	0.27	0.06	0.09
"GB192"	"Is there a gender system where a noun's phonological properties are a factor in class assignment?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB196"	"Is there a male/female distinction in 2nd person independent pronouns?"	-0.39	1.05	0	24.93	0	21.96	Inf	13.86	0	0	0	0	0
"GB197"	"Is there a male/female distinction in 1st person independent pronouns?"	-0.39	1.03	0	24.22	0	20.95	Inf	13.85	0	0	0	0	0
"GB198"	"Can an adnominal numeral agree with the noun in gender/noun class?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB204"	"Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?"	0.96	0.24	2.21	24.94	10.38	22.78	-13.26	30.79	0.82	0.82	0.82	0.85	0.82
"GB250"	"Can predicative possession be expressed with a transitive 'habeo' verb?"	-0.28	0.31	0.83	24.74	0	22.09	Inf	24.05	0.3	0.27	0.2	0.1	0.95
"GB252"	"Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?"	0.52	0.15	5.04	23.93	16.86	22.24	-20.86	46.3	0.76	0.78	0.77	0.8	0.78
"GB253"	"Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?"	-0.41	0.18	0.19	26.03	0.18	23.35	-19.15	42.31	0.18	0.89	0.86	0.16	0.34
"GB254"	"Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?"	0.22	0.11	0.46	26.26	0.49	21.87	-25.67	55.29	0.72	0.37	0.5	0.87	0.38
"GB256"	"Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?"	-0.2	0.24	0.39	22.17	0.15	19.3	-18.2	40.39	0.09	0.47	0.27	0.08	0.08
"GB257"	"Can polar interrogation be marked by intonation only?"	0.9	0.12	22.67	23.77	5.46	20.67	Inf	54.52	0.2	0.2	0.2	0.17	0.2
"GB260"	"Can polar interrogation be indicated by a special word order?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB262"	"Is there a clause-initial polar interrogative particle?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB263"	"Is there a clause-final polar interrogative particle?"	0.78	0.11	5.82	21.27	40.25	18.75	-21.08	46.35	0.87	0.87	0.87	0.85	0.87
"GB264"	"Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?"	0.93	0.35	14.62	22.68	0.83	20.21	Inf	27.31	0.05	0.05	0.05	0.04	0.05
"GB265"	"Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?"	-0.42	1.2	0	23.51	0	21.09	Inf	13.86	0	0	0	0	0
"GB266"	"Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?"	-0.48	0.15	0.07	25.32	0.18	21.22	-16.47	36.94	0.92	0.93	0.72	0.03	0.08
"GB270"	"Can comparatives be expressed using two conjoined clauses?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB273"	"Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?"	-0.4	0.15	0.12	26.23	0.13	23.22	-20.84	45.69	0.06	0.05	0.28	0.95	0.87
"GB275"	"Is there a bound comparative degree marker on the property word in a comparative construction?"	0.39	0.12	1.09	23.55	0.4	20.36	-26.06	56.27	0.37	0.23	0.26	0.12	0.21
"GB276"	"Is there a non-bound comparative degree marker modifying the property word in a comparative construction?"	0.49	0.4	2.87	24.1	0.23	20.47	Inf	29.41	0.08	0.07	0.06	0.2	0.07
"GB285"	"Can polar interrogation be marked by a question particle and verbal morphology?"	-1.69	1.8	0	24.2	0	20.98	Inf	12.07	0	0	0	0	0
"GB286"	"Can polar interrogation be indicated by overt verbal morphology only?"	1.07	0.21	45.58	23.78	4.51	19.67	-16.89	37.86	0.09	0.09	0.09	0.08	0.09
"GB291"	"Can polar interrogation be marked by tone?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB296"	"Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?"	0.51	0.11	3.46	28.16	1.76	23.18	-26.46	57.49	0.31	0.3	0.44	0.4	0.42
"GB297"	"Can polar interrogation be indicated by a V-not-V construction?"	-1.96	1.66	0	19.56	0	16.42	Inf	12.07	0	0	0	0	0
"GB298"	"Can standard negation be marked by an inflecting word (\"auxiliary verb\")?"	-0.37	0.13	0.26	24.08	0.09	20.61	-21.41	46.47	0.03	0.03	0.68	0.05	0.06
"GB299"	"Can standard negation be marked by a non-inflecting word (\"auxiliary particle\")?"	-0.18	0.12	0.32	24.07	0.14	22.12	-25.88	55.54	0.09	0.81	0.07	0.92	0.06
"GB300"	"Does the verb for 'give' have suppletive verb forms?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB301"	"Is there an inclusory construction?"	-0.09	0.3	0.52	24.87	0.29	21.78	-10.04	24.31	0.56	0.3	0.45	0.16	0.23
"GB302"	"Is there a phonologically free passive marker ('particle' or 'auxiliary')?"	2.14	2.46	0	25.4	0	22.39	Inf	15.88	0	0	0	0	0
"GB303"	"Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB304"	"Can the agent be expressed overtly in a passive clause?"	0.1	0.17	0.15	26.84	0.76	21.4	-15.49	34.74	0.89	0.81	0.92	0.94	0.94
"GB305"	"Is there a phonologically independent reflexive pronoun?"	-1.02	0.62	0.03	21.8	0	20.17	-6.87	17.77	1	1	1	1	1
"GB306"	"Is there a phonologically independent non-bipartite reciprocal pronoun?"	-0.03	0.24	0.7	23.98	0.13	21.59	-11.66	27.66	0.12	0.11	0.25	0.6	0.38
"GB309"	"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?"	-0.01	0.1	0.35	24.58	0.18	22.65	-30.25	64.44	0.86	0.21	0.61	0.52	0.12
"GB312"	"Is there overt morphological marking on the verb dedicated to mood?"	0.04	0.18	0.02	22.17	0.13	19.9	-9.2	22.13	1	1	1	1	1
"GB313"	"Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?"	0.88	0.16	9.44	23.22	1.57	20.49	Inf	49.76	0.15	0.14	0.14	0.12	0.14
"GB314"	"Can augmentative meaning be expressed productively by a shift of gender/noun class?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB315"	"Can diminutive meaning be expressed productively by a shift of gender/noun class?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB316"	"Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?"	1.72	0.65	0	22.04	0	21.07	Inf	15.73	0	0	0	0	0
"GB317"	"Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB318"	"Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?"	1.72	0.64	0	23.39	0	21.64	Inf	15.75	0	0	0	0	0
"GB319"	"Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB320"	"Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB321"	"Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB322"	"Is there grammatical marking of direct evidence (perceived with the senses)?"	0.6	0.09	2.25	22.5	0.59	19.39	-27.72	59.58	0.21	0.24	0.19	0.42	0.2
"GB323"	"Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?"	1.04	0.08	100	24.03	37.5	20.81	Inf	68.66	0.27	0.27	0.27	0.25	0.27
"GB324"	"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?"	1.26	0.08	99.96	20.67	87.43	18.78	-31.13	66.39	0.47	0.47	0.47	0.46	0.47
"GB325"	"Is there a count/mass distinction in interrogative quantifiers?"	1.12	0.1	75.97	25.63	30.44	21.61	Inf	54.46	0.29	0.29	0.29	0.36	0.29
"GB326"	"Do (nominal) content interrogatives normally or frequently occur in situ?"	0.87	0.18	3.02	23.52	20.66	21.79	-15.03	34.3	0.87	0.87	0.87	0.89	0.87
"GB327"	"Can the relative clause follow the noun?"	0.67	0.13	8.39	25.69	1.77	21.72	-23.85	52.11	0.2	0.16	0.19	0.13	0.16
"GB328"	"Can the relative clause precede the noun?"	0.01	0.65	0.03	23.97	0.12	20.45	-8.4	20.61	1	1	1	1	1
"GB329"	"Are there internally-headed relative clauses?"	0.57	0.2	17.28	22.47	2.39	21.1	-15.24	34.75	0.12	0.12	0.18	0.1	0.13
"GB330"	"Are there correlative relative clauses?"	-0.95	2.66	0	24.03	0	21.67	Inf	13.19	0	0	0	0	0
"GB331"	"Are there adjoined relative clauses?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB333"	"Is there a decimal numeral system?"	-4.51	0.98	0	26.01	0.11	24.39	-1.95	8	1	1	1	1	1
"GB334"	"Is there synchronic evidence for any element of a quinary numeral system?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB335"	"Is there synchronic evidence for any element of a vigesimal numeral system?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB336"	"Is there a body-part tallying system?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB400"	"Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?"	0.84	0.23	6.8	23.78	0.72	22.12	-16.56	37.39	0.1	0.1	0.1	0.07	0.09
