"ID","Feature","Value","Source","Comment","Glottocode","PoS","Function","Level"
"GB039","Is there nonphonological allomorphy of noun number markers?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB041","Are there several nouns (more than three) which are suppletive for number?","0","Shiraliev (1971:42-43)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB042","Is there productive overt morphological singular marking on nouns?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB043","Is there productive morphological dual marking on nouns?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB044","Is there productive morphological plural marking on nouns?","1","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB046","Is there an associative plural marker for nouns?","1","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB047","Is there a productive morphological pattern for deriving an action/state noun from a verb?","1","Shiraliev (1971:54-55); Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","noun","denominal derivation","word"
"GB048","Is there a productive morphological pattern for deriving an agent noun from a verb?","1","Shiraliev (1971:53)","","Azerbaijani [azj] [nort2697].tsv","noun","denominal derivation","word"
"GB049","Is there a productive morphological pattern for deriving an object noun from a verb?","1","Shiraliev (1971:55)","there is an affix deriving nouns meaning the result of an action","Azerbaijani [azj] [nort2697].tsv","noun","denominal derivation","word"
"GB051","Is there a noun class/gender system where sex is a factor in class assignment?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","word"
"GB052","Is there a noun class/gender system where shape is a factor in class assignment?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","word"
"GB053","Is there a noun class/gender system where animacy is a factor in class assignment?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","word"
"GB054","Is there a noun class/gender system where plant status is a factor in class assignment?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","word"
"GB057","Are there numeral classifiers?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","noun","quantification","word"
"GB058","Are there possessive classifiers?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","noun","possession","word"
"GB059","Is the adnominal possessive construction different for alienable and inalienable nouns?","0","Shiraliev (1971:49-51); Shiraliev (1997:163-164)","","Azerbaijani [azj] [nort2697].tsv","noun","possession","word"
"GB068","Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?","0","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","adjective","non-verbal predication","word"
"GB069","Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?","0","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","adjective","other","word"
"GB070","Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?","1","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","argument marking (core)","word"
"GB071","Are there morphological cases for pronominal core arguments (i.e. S/A/P)?","1","Shiraliev (1971:80-81)","","Azerbaijani [azj] [nort2697].tsv","pronoun","argument marking (core)","word"
"GB072","Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?","1","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","argument marking (non-core)","word"
"GB073","Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?","1","Shiraliev (1971:80-81)","","Azerbaijani [azj] [nort2697].tsv","pronoun","argument marking (non-core)","word"
"GB074","Are there prepositions?","0","Shiraliev (1971:159-167); Shiraliev (1997:167)","","Azerbaijani [azj] [nort2697].tsv","other","argument marking (non-core)","NP"
"GB075","Are there postpositions?","1","Shiraliev (1971:159-167); Shiraliev (1997:167)","","Azerbaijani [azj] [nort2697].tsv","other","argument marking (non-core)","NP"
"GB079","Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME+","word"
"GB080","Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?","1","Shiraliev (1971:94-146)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME+","word"
"GB081","Is there productive infixation in verbs?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME+","word"
"GB082","Is there overt morphological marking of present tense on verbs?","1","Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","word"
"GB083","Is there overt morphological marking on the verb dedicated to past tense?","1","Shiraliev (1971:123); Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","word"
"GB084","Is there overt morphological marking on the verb dedicated to future tense?","1","Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","word"
"GB086","Is a morphological distinction between perfective and imperfective aspect available on verbs?","0","Shiraliev (1971:101, 137); Shiraliev (1997:165)","tenses can have aspectual meaning","Azerbaijani [azj] [nort2697].tsv","verb","TAME","word"
"GB089","Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?","1","Shiraliev (1971:110-112, 213); Shiraliev (1997:168)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB090","Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?","0","Shiraliev (1971:110-112, 213); Shiraliev (1997:168)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB091","Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?","1","Shiraliev (1971:110-112, 213); Shiraliev (1997:168)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB092","Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?","0","Shiraliev (1971:110-112, 213); Shiraliev (1997:168)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB093","Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?","0","Shiraliev (1971:110-112, 213); Shiraliev (1997:168)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB094","Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?","0","Shiraliev (1971:110-112, 213); Shiraliev (1997:168)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB095","Are variations in marking strategies of core participants based on TAM distinctions?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB096","Are variations in marking strategies of core participants based on verb classes?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB098","Are variations in marking strategies of core participants based on person distinctions?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB099","Can verb stems alter according to the person of a core participant?","0","Shiraliev (1971:110-112)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB103","Is there a benefactive applicative marker on the verb (including indexing)?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (non-core)","word"
"GB104","Is there an instrumental applicative marker on the verb (including indexing)?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (non-core)","word"
"GB105","Can the recipient in a ditransitive construction be marked like the monotransitive patient?","?","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (non-core)","word"
"GB107","Can standard negation be marked by an affix, clitic or modification of the verb?","1","Shiraliev (1971:100); Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","verb","negation","word"
"GB108","Is there directional or locative morphological marking on verbs?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (non-core)","word"
"GB109","Is there verb suppletion for participant number?","0","Shiraliev (1971:110-112)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB110","Is there verb suppletion for tense or aspect?","0","Shiraliev (1971:100-106, 123-138)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","TAME","word"
"GB111","Are there conjugation classes?","0","Shiraliev (1971:1-407)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","TAME+","word"
"GB113","Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?","1","Shiraliev (1971:109)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB114","Is there a phonologically bound reflexive marker on the verb?","1","Shiraliev (1971:107); Shiraliev (1997:164)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB115","Is there a phonologically bound reciprocal marker on the verb?","1","Shiraliev (1971:108); Shiraliev (1997:164)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB116","Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB117","Is there a copula for predicate nominals?","1","Shiraliev (1971:275)","","Azerbaijani [azj] [nort2697].tsv","verb","non-verbal predication","clause"
"GB118","Are there serial verb constructions?","0","Shiraliev (1971:1-407)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","verb complex","clause"
"GB119","Can mood be marked by an inflecting word (""auxiliary verb"")?","1","Shiraliev (1971:100)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","clause"
"GB120","Can aspect be marked by an inflecting word (""auxiliary verb"")?","1","Shiraliev (1971:101-103); Shiraliev (1997:164)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","clause"
"GB121","Can tense be marked by an inflecting word (""auxiliary verb"")?","1","Shiraliev (1971:118, 128-129)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","clause"
"GB122","Is verb compounding a regular process?","0","Shiraliev (1971:1-407)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","verb complex","word"
"GB123","Are there verb-adjunct (aka light-verb) constructions?","1","Shiraliev (1971:98-99)","","Azerbaijani [azj] [nort2697].tsv","verb","verb complex","clause"
"GB124","Is incorporation of nouns into verbs a productive intransitivizing process?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB126","Is there an existential verb?","1","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","verb","non-verbal predication","clause"
"GB127","Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?","0","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","verb","non-verbal predication","clause"
"GB129","Is there a notably small number, i.e. about 100 or less, of verb roots in the language?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","other","word"
"GB131","Is a pragmatically unmarked constituent order verb-initial for transitive clauses?","0","Shiraliev (1997:169)","","Azerbaijani [azj] [nort2697].tsv","verb","word order","clause"
"GB132","Is a pragmatically unmarked constituent order verb-medial for transitive clauses?","0","Shiraliev (1997:169)","","Azerbaijani [azj] [nort2697].tsv","verb","word order","clause"
"GB133","Is a pragmatically unmarked constituent order verb-final for transitive clauses?","1","Shiraliev (1997:169)","","Azerbaijani [azj] [nort2697].tsv","verb","word order","clause"
"GB134","Is the order of constituents the same in main and subordinate clauses?","1","Shiraliev (1971:385-389)","","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
"GB135","Do clausal objects usually occur in the same position as nominal objects?","0","Shiraliev (1971:390-391)","this construction is borrowed from Persian (see Kornfilt 1997:46)","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
"GB136","Is the order of core argument (i.e. S/A/P) constituents fixed?","1","Shiraliev (1997:169)","","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
"GB137","Can standard negation be marked clause-finally?","1","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","verb","negation","clause"
"GB138","Can standard negation be marked clause-initially?","0","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","verb","negation","clause"
"GB139","Is there a difference between imperative (prohibitive) and declarative negation constructions?","1","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","verb","negation","clause"
"GB140","Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?","0","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","verb","non-verbal predication","clause"
"GB146","Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?","0","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","noun","argument marking (core)","multiple"
"GB147","Is there a morphological passive marked on the lexical verb?","1","Shiraliev (1971:106-107); Shiraliev (1997:164)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB148","Is there a morphological antipassive marked on the lexical verb?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB149","Is there a morphologically marked inverse on verbs?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB150","Is there clause chaining?","1","Shiraliev (1971:144)","","Azerbaijani [azj] [nort2697].tsv","verb","verb complex","clause"
"GB151","Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","clause"
"GB152","Is there a morphologically marked distinction between simultaneous and sequential clauses?","0","Shiraliev (1971:142-146)","participles are used to distinguish the relative order of events","Azerbaijani [azj] [nort2697].tsv","verb","TAME","clause"
"GB155","Are causatives formed by affixes or clitics on verbs?","1","Shiraliev (1971:109); Shiraliev (1997:164)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB156","Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","valency","word"
"GB158","Are verbs reduplicated?","0","Shiraliev (1971:102)","repeated forms do not constitute phonological words","Azerbaijani [azj] [nort2697].tsv","verb","TAME+","word"
"GB159","Are nouns reduplicated?","?","Shiraliev (1971:43)","it is not clear whether these constitute phonological words","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB160","Are elements apart from verbs or nouns reduplicated?","1","Shiraliev (1971:152-153)","","Azerbaijani [azj] [nort2697].tsv","adjective","other","word"
"GB165","Is there productive morphological trial marking on nouns?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB166","Is there productive morphological paucal marking on nouns?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","noun","number","word"
"GB167","Is there a logophoric pronoun?","0","Shiraliev (1971:79)","","Azerbaijani [azj] [nort2697].tsv","pronoun","deixis","clause"
"GB170","Can an adnominal property word agree with the noun in gender/noun class?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","adjective","class agreement","NP"
"GB171","Can an adnominal demonstrative agree with the noun in gender/noun class?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","demonstrative","class agreement","NP"
"GB172","Can an article agree with the noun in gender/noun class?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","NP"
"GB177","Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","argument marking (core)","word"
"GB184","Can an adnominal property word agree with the noun in number?","0","Shiraliev (1971:59-60)","","Azerbaijani [azj] [nort2697].tsv","adjective","number","NP"
"GB185","Can an adnominal demonstrative agree with the noun in number?","0","Shiraliev (1971:82); Shiraliev (1997:165-166)","","Azerbaijani [azj] [nort2697].tsv","demonstrative","number","NP"
"GB186","Can an article agree with the noun in number?","0","Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","article","number","NP"
"GB187","Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?","1","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","noun","denominal derivation","word"
"GB188","Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?","0","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","noun","denominal derivation","word"
"GB192","Is there a gender system where a noun's phonological properties are a factor in class assignment?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","clause"
"GB196","Is there a male/female distinction in 2nd person independent pronouns?","0","Shiraliev (1971:79)","","Azerbaijani [azj] [nort2697].tsv","pronoun","deixis","word"
"GB197","Is there a male/female distinction in 1st person independent pronouns?","0","Shiraliev (1971:79)","","Azerbaijani [azj] [nort2697].tsv","pronoun","deixis","word"
"GB198","Can an adnominal numeral agree with the noun in gender/noun class?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","numeral","class agreement","NP"
"GB204","Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?","0","Shiraliev (1971:88-93)","","Azerbaijani [azj] [nort2697].tsv","other","quantification","multiple"
"GB250","Can predicative possession be expressed with a transitive 'habeo' verb?","0","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","verb","non-verbal predication","clause"
"GB252","Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?","1","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","multiple","non-verbal predication","clause"
"GB253","Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?","0","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","multiple","non-verbal predication","clause"
"GB254","Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?","1","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","multiple","non-verbal predication","clause"
"GB256","Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?","0","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","multiple","non-verbal predication","clause"
"GB257","Can polar interrogation be marked by intonation only?","1","Shiraliev (1971:254-257); Shiraliev (1997:162)","","Azerbaijani [azj] [nort2697].tsv","not assignable","interrogation","clause"
"GB260","Can polar interrogation be indicated by a special word order?","0","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","multiple","interrogation","clause"
"GB262","Is there a clause-initial polar interrogative particle?","0","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","particle","interrogation","clause"
"GB263","Is there a clause-final polar interrogative particle?","1","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","particle","interrogation","clause"
"GB264","Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?","0","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","particle","word order","clause"
"GB265","Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?","0","Shiraliev (1971:47)","","Azerbaijani [azj] [nort2697].tsv","verb","non-verbal predication","clause"
"GB266","Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?","1","Shiraliev (1971:47)","","Azerbaijani [azj] [nort2697].tsv","multiple","non-verbal predication","clause"
"GB270","Can comparatives be expressed using two conjoined clauses?","0","Shiraliev (1971:47)","","Azerbaijani [azj] [nort2697].tsv","multiple","non-verbal predication","clause"
"GB273","Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?","0","Shiraliev (1971:47)","","Azerbaijani [azj] [nort2697].tsv","particle","non-verbal predication","clause"
"GB275","Is there a bound comparative degree marker on the property word in a comparative construction?","0","Shiraliev (1971:47)","","Azerbaijani [azj] [nort2697].tsv","adjective","non-verbal predication","word"
"GB276","Is there a non-bound comparative degree marker modifying the property word in a comparative construction?","0","Shiraliev (1971:47)","","Azerbaijani [azj] [nort2697].tsv","particle","non-verbal predication","clause"
"GB285","Can polar interrogation be marked by a question particle and verbal morphology?","0","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","multiple","interrogation","clause"
"GB286","Can polar interrogation be indicated by overt verbal morphology only?","0","Shiraliev (1971:254-257)","the phonologically bound particle can attach to any part of speech","Azerbaijani [azj] [nort2697].tsv","verb","interrogation","clause"
"GB291","Can polar interrogation be marked by tone?","0","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","not assignable","interrogation","clause"
"GB296","Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?","0","Shiraliev (1971:1-407)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","other","other","word"
"GB297","Can polar interrogation be indicated by a V-not-V construction?","0","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","verb","interrogation","clause"
"GB298","Can standard negation be marked by an inflecting word (""auxiliary verb"")?","0","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","verb","negation","clause"
"GB299","Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?","0","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","particle","negation","clause"
"GB300","Does the verb for 'give' have suppletive verb forms?","0","Shiraliev (1971:1-407)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","TAME+","word"
"GB301","Is there an inclusory construction?","1","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","multiple","deixis","clause"
"GB302","Is there a phonologically free passive marker ('particle' or 'auxiliary')?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","particle","valency","clause"
"GB303","Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","particle","valency","clause"
"GB304","Can the agent be expressed overtly in a passive clause?","1","Shiraliev (1971:106)","","Azerbaijani [azj] [nort2697].tsv","multiple","valency","clause"
"GB305","Is there a phonologically independent reflexive pronoun?","1","Shiraliev (1971:88)","","Azerbaijani [azj] [nort2697].tsv","pronoun","valency","word"
"GB306","Is there a phonologically independent non-bipartite reciprocal pronoun?","0","Mehraliev (p.c. 2017)","it is bipartite","Azerbaijani [azj] [nort2697].tsv","pronoun","valency","word"
"GB309","Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?","1","Shiraliev (1971:123-136); Shiraliev (1997:165)","they do not distinguish distance from Time of Reference","Azerbaijani [azj] [nort2697].tsv","verb","TAME","clause"
"GB312","Is there overt morphological marking on the verb dedicated to mood?","1","Shiraliev (1997:164-165)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","word"
"GB313","Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?","0","Shiraliev (1971:49-51, 87); Shiraliev (1997:163-164)","genitive case of personal pronouns","Azerbaijani [azj] [nort2697].tsv","pronoun","possession","word"
"GB314","Can augmentative meaning be expressed productively by a shift of gender/noun class?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","word"
"GB315","Can diminutive meaning be expressed productively by a shift of gender/noun class?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","word"
"GB316","Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","particle","number","NP"
"GB317","Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","particle","number","NP"
"GB318","Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","particle","number","NP"
"GB319","Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","particle","number","NP"
"GB320","Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","particle","number","NP"
"GB321","Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?","0","Shiraliev (1997:163)","","Azerbaijani [azj] [nort2697].tsv","multiple","class agreement","word"
"GB322","Is there grammatical marking of direct evidence (perceived with the senses)?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","clause"
"GB323","Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","verb","TAME","clause"
"GB324","Is there an interrogative verb for content interrogatives (who?, what?, etc.)?","0","Shiraliev (1971:254-257)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","verb","interrogation","clause"
"GB325","Is there a count/mass distinction in interrogative quantifiers?","0","Shiraliev (1997:166)","","Azerbaijani [azj] [nort2697].tsv","particle","quantification","word"
"GB326","Do (nominal) content interrogatives normally or frequently occur in situ?","1","Shiraliev (1971:254-257)","","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
"GB327","Can the relative clause follow the noun?","1","Shiraliev (1971:141)","","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
"GB328","Can the relative clause precede the noun?","1","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
"GB329","Are there internally-headed relative clauses?","?","Shiraliev (1971:1-407)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
"GB330","Are there correlative relative clauses?","?","Shiraliev (1971:1-407)","Not mentioned.","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","clause"
